Run Name,Backbone Architecture,manual_aug_1,manual_aug_2,manual_aug_3,manual_aug_4,manual_aug_5,manual_aug_6,manual_aug_7,manual_aug_8,manual_aug_9,manual_aug_10,manual_aug_11,manual_aug_12,manual_aug_13,manual_aug_14,aug_policy_1,aug_policy_2,aug_policy_3,Backbone Top-1 Accuracy
vit_tiny + imagenet-100 + baseline_test2,vit_tiny,0.0,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0,0,0,55.34
vit_tiny + imagenet-100 + baseline_test5,vit_tiny,0.5,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,57.0
vit_tiny + imagenet-100 + baseline_test1,vit_tiny,0.5,0.5,0.3,0.0,0.3,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.1,0.0,0,0,0,41.84
vit_tiny + imagenet-100 + baseline_test1,vit_tiny,0.0,0.3,0.1,0.0,0.0,0.3,0.2,0.2,0.3,0.2,0.2,0.0,0.1,0.0,0,0,0,40.56
vit_tiny + imagenet-100 + baseline_test5,vit_tiny,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.3,0.0,0.2,0.0,0.0,0.3,0.0,0,0,0,43.52
vit_tiny + imagenet-100 + baseline_test9,vit_tiny,0.0,0.3,0.1,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0,0,0,50.42
vgg19 + imagenet-100 + baseline_test1,vgg19,0.0,0.3,0.1,0.0,0.0,0.3,0.2,0.2,0.3,0.2,0.2,0.0,0.1,0.0,0,0,0,76.33999999999999
vgg19 + imagenet-100 + baseline_test5,vgg19,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.3,0.0,0.2,0.0,0.0,0.3,0.0,0,0,0,79.32
vit_tiny + imagenet-100 + baseline2_test1,vit_tiny,0.0,0.5,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.3,0.0,0.0,0.5,0.0,0,0,0,42.58
vit_tiny + imagenet-100 + baseline2_test5,vit_tiny,0.3,0.3,0.5,0.0,0.3,0.5,0.1,0.3,0.3,0.5,0.1,0.0,0.5,0.0,0,0,0,21.14
vit_tiny + imagenet-100 + baseline2.5_test5,vit_tiny,0.3,0.3,0.5,0.0,0.3,0.3,0.1,0.3,0.3,0.0,0.1,0.0,0.5,0.0,0,0,0,25.94
vit_tiny + imagenet-100 + baseline3_test1,vit_tiny,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0,0,0,56.64
vit_tiny + imagenet-100 + baseline3_test5,vit_tiny,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0,0,0,52.32
resnet18 + imagenet-100 + baseline3_test1,resnet18,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0,0,0,78.94
vit_tiny + imagenet-100 + baseline4_test1,vit_tiny,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.4,0.0,0.0,0.3,0.0,0,0,0,42.74
vgg19 + imagenet-100 + baseline4_test1,vgg19,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.4,0.0,0.0,0.3,0.0,0,0,0,76.17999999999999
vgg19 + imagenet-100 + baseline4_test5,vgg19,0.4,0.0,0.1,0.0,0.4,0.1,0.0,0.3,0.3,0.0,0.4,0.0,0.1,0.0,0,0,0,79.84
resnet18 + imagenet-100 + baseline4_test1,resnet18,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.4,0.0,0.0,0.3,0.0,0,0,0,74.66
resnet18 + imagenet-100 + baseline4_test7,resnet18,0.0,0.0,0.3,0.0,0.1,0.0,0.4,0.0,0.3,0.1,0.3,0.0,0.4,0.0,0,0,0,76.62
vit_tiny + imagenet-100 + baseline4_test5,vit_tiny,0.4,0.0,0.1,0.0,0.4,0.1,0.0,0.3,0.3,0.0,0.4,0.0,0.1,0.0,0,0,0,51.02
vgg19 + imagenet-100 + baseline4_test8,vgg19,0.4,0.0,0.4,0.0,0.4,0.3,0.1,0.3,0.3,0.4,0.4,0.0,0.1,0.0,0,0,0,73.60000000000001
vit_tiny + imagenet-100 + baseline4_test3,vit_tiny,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,0.0,0.0,0.3,0.0,0,0,0,54.46
vit_tiny + imagenet-100 + baseline4_test9,vit_tiny,0.1,0.0,0.3,0.0,0.0,0.4,0.1,0.4,0.0,0.4,0.1,0.0,0.1,0.0,0,0,0,38.7
resnet18 + imagenet-100 + baseline4_test1,resnet18,0.0,0.0,0.1,0.0,0.3,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.3,0.0,0,0,0,75.53999999999999
vgg19 + imagenet-100 + baseline4_test0,vgg19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,77.91999999999999
